Segmento,Record Name,matches,Relation id
5,roberto ga,12,1
5,coqueta,6,2
5,adobe,8,3
5,caua sobieray,14,4
5,c,10,6
5,n,6,7
5,palabras inefables,11,8
5,angel,5,10
5,ffffff,5,15
5,hola,6,16
5,imagenes de paris,9,17
5,kilo,11,18
5,lana del rey,12,19
5,musica,8,20
5,algo,7,25
5,alo,6,26
5,anxo vilar,8,29
5,arch,10,30
5,bb,7,33
5,bia,8,34
5,cachiporra,9,35
5,catalina,16,38
5,chile,12,39
5,dedo,7,41
5,dinosaurios,8,42
5,FANTASILANDIA,5,44
5,felix bozo,5,46
5,freud,10,49
5,gatito,6,50
5,gatp,9,51
5,gigante de atacama,9,52
5,hacer,9,55
5,hi,6,56
5,hola como te llamas,5,57
5,hola,6,59
5,hola,6,64
5,hola,6,65
5,holi,13,66
5,iquique,12,67
5,jhf,10,69
5,jonathan,11,70
5,joya,6,71
5,lady gaga,5,74
5,leones,9,75
5,lkh,12,76
5,llll,6,77
5,llos,6,78
5,luz,5,81
5,luz,5,82
5,macoi,11,83
5,magnetics fields,9,84
5,melancolia,6,86
5,miedo,5,87
5,nooooo,11,90
5,ola,6,91
5,pap,14,94
5,perrito,11,95
5,p,6,97
5,random,17,98
5,ricard,8,100
5,saff,8,102
5,tocopilla,9,106
5,uniacc,7,107
5,us,11,108
5,vina del mar,8,109
5,war,21,111
5,zilla,13,112
5,0ne direction,12,115
5,0p,8,116
5,0,8,117
5,1001 suns,8,118
5,1001suns,10,119
5,1001,11,120
5,10,8,121
5,1234,11,126
5,1,5,129
5,1,5,130
5,2012k,7,133
5,21 2,6,135
5,22,10,136
5,31 minutos,8,144
5,42,8,147
5,5,6,148
5,7k7kcom,8,151
5,7,8,152
5,aalgoritmo,5,159
5,aborto,5,164
5,aborto,5,165
5,about bolivia,10,166
5,acuario,7,170
5,acusmatica,8,171
5,Adelaida,7,172
5,adios,6,174
5,adios,7,175
5,adios,7,176
5,adios,6,177
5,adios,9,178
5,adjetivo,5,180
5,admin,13,182
5,adriana,8,184
5,adriana,8,185
5,adrian,9,186
5,Adrien,5,187
5,adri,10,188
5,aeiou,19,191
5,africa,6,193
5,agustin espinoza,8,202
5,AGUSTIN,7,203
5,AHHHHHHHHH,5,204
5,ahhhhhh,7,205
5,airplanes,6,206
5,ajedrez,6,207
5,ajo,5,208
5,AKB48,7,209
5,ako,8,210
5,al aldo le gusta la chora rosa,5,211
5,al bocho le gusta la corneta,9,212
5,alan,29,217
5,albamar,7,221
5,ALBERT ISSAC LERMA ESCALERA,9,223
5,alcornoque,7,225
5,ALEGORIA,5,227
5,alegria,6,229
5,alejandra rivera,5,234
5,alejandro   torres,8,238
5,alejandro duran,6,239
5,alejandro,8,240
5,alejand,7,241
5,alemania nazi,8,242
5,alexander supertramp,6,246
5,alexandra barraza diaz,12,247
5,alexandra escobar,9,248
5,ale,6,258
5,alfa,10,259
5,alfredo,9,260
5,algoritmo,6,263
5,algo,7,265
5,ALGO,7,266
5,algo,7,267
5,algo,7,268
5,algo,7,269
5,algo,7,270
5,alice,6,272
5,alien,16,276
5,ali,14,277
5,alma pereda,14,280
5,alma,6,281
5,alma,5,282
5,almendra troncoso,8,284
5,almendra,8,285
5,almojarifazgo,7,286
5,ALMUB,6,287
5,alphaville,9,292
5,alquimia,8,293
5,Amanda Pereira,23,298
5,amanda,6,299
5,amanita,9,300
5,amaya,7,301
5,amen,6,304
5,america,12,305
5,america,12,306
5,americo sebastiani,6,307
5,americo,6,308
5,amistad,6,309
5,amon amarth,7,311
5,amor y odio,7,314
5,amor,6,315
5,amor,5,318
5,amorcito,7,319
5,amore,5,320
5,amor,6,321
5,amor,5,322
5,amor,5,324
5,amor,5,325
5,amor,5,326
5,amor,5,327
5,amor,5,328
5,Amor,5,332
5,amor,5,334
5,amor,6,337
5,amor,5,344
5,amor,5,345
5,amor,6,346
5,AMOR,7,350
5,amor,6,351
5,amor,5,352
5,amor,5,353
5,amor,5,354
5,amor,6,356
5,amor,6,358
5,amor,7,359
5,amor,7,360
5,amor,6,363
5,amor,5,364
5,amor,5,371
5,amor,5,374
5,amor,5,378
5,amor,5,379
5,amor,5,381
5,amor,5,383
5,amor,5,384
5,anais teamo,8,393
5,anais,8,394
5,Analia,13,395
5,analogia,5,396
5,ananias gonzalez muñoz,8,397
5,anarquia,9,398
5,anarquia,9,399
5,anarquismo,8,400
5,anastasios,8,401
5,ana,9,402
5,anderson,7,403
5,andre felipe rodrigues silva,9,405
5,andres riderelli,9,410
5,andres,11,411
5,andre,11,412
5,angela,15,415
5,Angelica,12,417
5,angelo pincheira,7,422
5,angiotensina 1-9,9,423
5,angiotensina,9,424
5,angustia,6,425
5,animal,7,429
5,anna,12,430
5,anonymous,6,431
5,antiterrorismo,6,434
5,antoine,11,435
5,antonia,5,439
5,ant,17,443
5,anxo vilar,8,444
5,anzoni,12,445
5,ao,7,448
5,apgd,5,449
5,apollo,12,450
5,aracely,8,453
5,arbol,6,455
5,ARELY M RODRIGUEZ MARQUEZ,6,458
5,ARELY M RODRIGUEZ,22,459
5,ARELY RODRIGUEZ,34,460
5,arenita,6,461
5,argentina el mejor,14,463
5,argentina es el mejor,5,464
5,argentina gana el mundial 2014,9,465
5,argentina,13,466
5,argentina,15,467
5,Argentina,7,468
5,ARGENTINA,7,469
5,arica,11,471
5,armonía,7,473
5,arrollado de vena,10,476
5,arte de mierda,8,481
5,arte por el arte,8,484
5,artista,5,511
5,arturo subercaseaux,8,512
5,asa,6,513
5,aschein,9,514
5,asdfghjkl,8,515
5,asdf,5,517
5,asdf,7,518
5,asd,16,519
5,asd,16,520
5,asesino,8,685
5,ashley benson,5,686
5,aspirale,6,688
5,asterix,9,689
5,atmosfera,7,692
5,attack on tita,6,694
5,audiopsicotica,12,695
5,aurora,14,696
5,austin y ally,8,697
5,australia,6,698
5,autonomia,9,700
5,autonomia,7,701
5,autonomia,8,702
5,autosustentable,8,703
5,avatar,21,710
5,aviones,7,711
5,avion,5,712
5,axel,8,713
5,axila,10,714
5,axioma,5,715
5,ayayyayayay,8,716
5,búsqueda,5,729
5,búsqueda,5,730
5,búsqueda,7,731
5,búsqued,6,732
5,b n,11,733
5,babeto,7,735
5,bachelet,5,736
5,bachelet,6,737
5,bachelet,8,738
5,bachicha,8,739
5,baila como quieras,15,741
5,bajo,12,742
5,balsamo,7,744
5,barack obama,10,746
5,barbarella,15,750
5,barcelona,5,751
5,barrio huemul,6,752
5,barro,5,754
5,bar,5,756
5,bastian rivas,13,758
5,bastidor de tela para pintar,8,761
5,basura la bienal,6,762
5,batman es de marvel,8,765
5,batman tomas meneses,11,766
5,batman,7,767
5,battlefield,10,768
5,bayron munoz,6,769
5,bazinga,6,772
5,bazofia,10,773
5,bbbbb,8,774
5,bb,7,777
5,beatriz,6,779
5,bebe,11,782
5,behemencia,11,783
5,belen,6,787
5,belen,13,789
5,belieber forever,12,790
5,ben 10,8,793
5,beneath   the masacre,10,794
5,benedetti,8,795
5,benjamin  bascuñan,9,797
5,benjamin espinoza,8,798
5,benjamin,12,799
5,benjamin,10,801
5,benjam,12,802
5,Benny,6,804
5,beN,8,805
5,berlin,9,807
5,bernardo ohiggins,8,809
5,bertin,8,810
5,bgdf,13,813
5,bia,8,818
5,bienal,8,826
5,biernacki,10,828
5,bincent,8,831
5,biorn borg,6,832
5,bitch,10,833
5,Bjork,13,834
5,bjork,12,835
5,bkn,6,836
5,blablabla,6,837
5,black death,7,838
5,black sabbath,7,839
5,black sabbath,7,840
5,blando,11,843
5,blopa,9,844
5,bnmhg,20,845
5,bobmarley,8,846
5,body es el rey,9,847
5,bomba estereo,7,850
5,Bon,8,852
5,bon jovi,5,853
5,bonjour,10,854
5,bonjour,7,855
5,botafogo,7,857
5,botella al mar,7,858
5,botman,14,860
5,bowie,9,861
5,Bowser,8,862
5,Brasil,8,866
5,brasil,7,867
5,brasil,6,868
5,brasil,7,869
5,brasil,6,870
5,brasil,8,873
5,brasoi,10,878
5,brazil,5,879
5,brenda alexandra cassab,9,881
5,bristol,8,883
5,budha,11,885
5,buenas tardes,6,888
5,buena,9,889
5,burbujas,6,892
5,buscando detras del telon,11,894
5,busquda,5,925
5,bw,7,932
5,byte,7,933
5,b,5,934
5,b,5,936
5,c,5,937
5,ca,10,938
5,caballito,8,939
5,caballo,9,940
5,caballo,6,941
5,caballo,8,942
5,CABALLO,9,943
5,cabeza de   aba,5,944
5,cabeza de grifo,6,945
5,cabeza de loro,13,946
5,cabeza,7,947
5,cabeza,7,948
5,cacatua,11,949
5,caca,5,950
5,caca,8,951
5,caca,8,952
5,caca,8,953
5,caca,9,955
5,caca,8,957
5,caca,10,958
5,caca,8,961
5,caca,10,963
5,caca,8,965
5,caca,8,966
5,caca,8,967
5,caca,8,968
5,caca,7,970
5,caca,8,971
5,caca,8,972
5,caca,8,974
5,caca,8,975
5,caca,8,976
5,caca,8,977
5,caca,8,979
5,caca,8,980
5,cachalote,7,982
5,cada dia te quiero más,10,984
5,calentamiento global,7,987
5,california,9,988
5,calixto,6,989
5,calixto,6,990
5,caliz,12,991
5,callate,8,993
5,callate,6,994
5,callate,8,995
5,callate,8,996
5,callate,9,997
5,callate,12,998
