Segmento,Record Name,matches,Relation id
3,palabras inefables,3,8
3,COMO ffff,3,12
3,imagenes de paris,3,17
3,arte contenporaneo,3,31
3,casa,3,37
3,dedo,3,41
3,FANTASILANDIA,3,44
3,hola,3,60
3,jhf,3,69
3,joyeria,3,72
3,llos,3,78
3,melancolia,3,86
3,miedo,3,87
3,000000000000000000000001,3,114
3,11 bienal,3,122
3,1SI,3,127
3,2 2,3,132
3,2012k,3,133
3,aamor,3,160
3,abandono,3,161
3,about bolivia,3,166
3,admin,3,182
3,ako,3,210
3,alejandro   torres,3,238
3,america,3,305
3,analogia,3,396
3,andre,3,412
3,angelo pincheira,3,422
3,anxo vilar,3,444
3,apple,3,451
3,arica,3,471
3,armonía,3,473
3,artista,3,511
3,asdfghjkl,3,515
3,b n,3,733
3,bb,3,777
3,ben 10,3,793
3,beN,3,805
3,bgdf,3,813
3,biernacki,3,828
3,bitch,3,833
3,botella al mar,3,858
3,Bowser,3,862
3,buena,3,889
3,carolina suarez,3,1078
3,cecilia kenski,3,1163
3,chancho seis,3,1178
3,chavez candanga,3,1194
3,chequea,3,1196
3,chile,3,1214
3,chile,3,1215
3,chile,3,1216
3,chile,3,1220
3,chile,3,1221
3,chile,3,1222
3,chile,3,1224
3,chile,3,1230
3,chile,3,1232
3,christian montees,3,1245
3,coño,3,1300
3,cogollo,3,1310
3,COLECTIVIDAD,3,1314
3,COLECTIVIDAD,3,1315
3,COLECTIVIDAD,3,1316
3,COLECTIVIDAD,3,1317
3,colectividad,3,1318
3,colectividad,3,1319
3,colectividad,3,1320
3,colombia,3,1332
3,coni,3,1383
3,conjutivitis,3,1384
3,consuelo salinas,3,1400
3,contingencia,3,1401
3,cosa,3,1418
3,cristian montes,3,1433
3,cuanto cabron,3,1462
3,culiar,3,1467
3,cultura  chupistica,3,1468
3,dafuq,3,1484
3,delirio,3,1547
3,descansar,3,1556
3,diana cristina reyes pardo,3,1566
3,distinto,3,1617
3,durdem,3,1656
3,eduardo pimentel,3,1669
3,el tio de barcelona,3,1700
3,emergency pavilion venezia,3,1720
3,encontrar,3,1727
3,escribe,3,1761
3,espera espera,3,1774
3,etimologia,3,1799
3,evelyn matthei,3,1809
3,evelyn matthey,3,1811
3,excentrico,3,1819
3,Excribe,3,1820
3,EXITO,3,1821
3,facebook,3,1837
3,Facebook,3,1839
3,fernanda gonzalez,3,1902
3,ffff,3,1915
3,ffhjfh,3,1917
3,fgh,3,1924
3,Filipe Guimaraes,3,1930
3,foc yu,3,1952
3,foros de rol,3,1958
3,frank miller,3,1989
3,fuerza,3,2005
3,gacitua,3,2030
3,ggh,3,2145
3,gg,3,2146
3,google,3,2184
3,google,3,2185
3,gran hotel excelsior,3,2198
3,guillermo catalan,3,2223
3,HEBER TORRES CORDERO,3,2260
3,HEBER TORRES CORDERO,3,2261
3,hello neo,3,2271
3,hgd,3,2291
3,histerica,3,2319
3,hola,3,2378
3,hola,3,2379
3,hola,3,2386
3,hola,3,2388
3,hola,3,2412
3,hola,3,2413
3,hola,3,2416
3,hola,3,2427
3,hola,3,2448
3,hola,3,2454
3,hola,3,2465
